역명,상세주소
춘의,경기도 부천시 원미구 춘의동 145 춘의역
신중동,경기도 부천시 원미구 중동 1140-6 신중동역
부천시청,경기도 부천시 원미구 중동 1243 부천시청역
상동,경기도 부천시 원미구 상동 633 상동역
삼산체육관,인천광역시 부평구 삼산동 466 삼산체육관역
굴포천,인천광역시 부평구 삼산동 466 굴포천역
부평구청,인천광역시 부평구 갈산동 193-45 부평구청역
암사,서울특별시 강동구 암사동 501 암사역
강동구청,서울특별시 강동구 성내동 319 강동구청역
몽촌토성(평화의문),서울특별시 송파구 신천동 19 몽촌토성역
석촌,서울특별시 송파구 석촌동 209 석촌역
송파,서울특별시 송파구 가락동 459-4 송파역
문정,서울특별시 송파구 문정동 119-4 문정역
장지,서울특별시 송파구 장지동 201-5 장지역
복정,서울특별시 송파구 장지동 596-21 복정역
산성,경기도 성남시 수정구 신흥동 7-4 산성역
남한산성입구(성남법원•검찰청),경기도 성남시 수정구 단대동 96 남한산성입구역
단대오거리,경기도 성남시 수정구 신흥동 2467 단대오거리역
신흥,경기도 성남시 수정구 신흥동 2467 신흥역
수진,경기도 성남시 수정구 수진동 2205-1 수진역
모란,경기도 성남시 수정구 수진동 4808 모란역
개화,서울특별시 강서구 개화동로8길 19
김포공항,서울특별시 강서구 하늘길 지하77
공항시장,서울특별시 강서구 방화동로 지하30 
신방화,서울특별시 강서구 방화대로 지하301
마곡나루,서울특별시 강서구 마곡중앙5로 지하2
양천향교,서울특별시 강서구 양천로 지하341
가양,서울특별시 강서구 양천로 지하485
증미,서울특별시 강서구 양천로 지하560
등촌,서울특별시 강서구 공항대로 지하529
염창,서울특별시 강서구 공항대로 지하631
신목동,서울특별시 양천구 목동중앙로 지하217
선유도,서울특별시 영등포구 양평로 지하124
당산,서울특별시 영등포구 당산로 229
국회의사당,서울특별시 영등포구 국회대로 지하758
여의도,서울특별시 영등포구 의사당대로 지하101 (여의도동)
샛강,서울특별시 영등포구 의사당대로 지하166
노량진,서울특별시 동작구 노량진로 지하130
노들,서울특별시 동작구 노량진로 지하238 (본동)
흑석,서울특별시 동작구 현충로 지하90 (흑석동)
동작,서울특별시 동작구 현충로 지하220 (동작동)
구반포,서울특별시 서초구 신반포로 지하17
신반포,서울특별시 서초구 신반포로 지하105
고속터미널,서울특별시 서초구 신반포로 지하188
사평,서울특별시 서초구 사평대로 지하285
신논현,서울특별시 강남구 봉은사로 지하102
언주,서울특별시 강남구 봉은사로 201
선정릉,서울특별시 강남구 선릉로 580
삼성중앙,서울특별시 강남구 봉은사로 501
봉은사,서울특별시 강남구 봉은사로 601
종합운동장,서울특별시 송파구 올림픽로 23
삼전,서울특별시 송파구 백제고분로 187
석촌고분,서울특별시 송파구 삼학사로 53
석촌,서울특별시 송파구 송파대로 439
송파나루,서울특별시 송파구 백제고분로 446
한성백제,송파구 위례성대로 51
올림픽공원,서울특별시 송파구 양재대로 1233
둔촌오륜,서울특별시 강동구 강동대로 305
중앙보훈병원,서울특별시 강동구 명일로 117
